"lista","nombre_visual","nombre_interno","tipo_sharepoint","obligatorio_sharepoint","valor_defecto","longitud_maxima","formato_fecha","opciones"
"Sugerencias","CP","CP","text","False","","255.0","",""
"Sugerencias","Descripcion","Descripcion","text","False","","","",""
"Sugerencias","Dirección","Direccion","text","False","","255.0","",""
"Sugerencias","Escalera","Escalera","text","False","","255.0","",""
"Sugerencias","Estacion","Estacion","choice","False","General / Ninguna específica","","","General / Ninguna específica|Cualquiera de Línea 1|Guadalmedina|Atarazanas|Andalucía Tech|Carranque|Barbarela|El Clínico|La Unión|Universidad|Ciudad de la Justicia|El Cónsul|El Perchel|Paraninfo|Portada Alta|Cualquiera de Línea 2|Guadalmedina|La Luz - La Paz|La Isla|El Perchel|Puerta Blanca|Princesa - Huelin|El Torcal|Palacio de los Deportes|Toda la red de Metro Málaga|Interior del tren|Otra ubicación"
"Sugerencias","EstadoCliente","EstadoCliente","choice","False","En trámite","","","En trámite|Resuelta aceptada|Resuelta gestionada|Resuelta denegada"
"Sugerencias","FechaModificacionEstadoCliente","FechaModificacionEstadoCliente","dateTime","False","[today]","","dateTime",""
"Sugerencias","Localidad","Localidad","text","False","","255.0","",""
"Sugerencias","Nacionalidad","Nacionalidad","choice","False","","","","AFGANISTÁN|ÅLAND|ALBANIA|ALEMANIA|ANDORRA|ANGOLA|ANGUILA|ANTIGUA Y BARBUDA|ANTILLAS NEERLANDESAS|ARABIA SAUDITA|ARGELIA|ARGENTINA|ARMENIA|ARUBA|AUSTRALIA|AUSTRIA|AZERBAIYÁN|BAHAMAS|BARÉIN|BANGLADÉS|BARBADOS|BÉLGICA|BELICE|BENÍN|BERMUDAS|BIELORRUSIA|BIRMANIA|BOLIVIA|BOSNIA Y HERZEGOVINA|BOTSUANA|ISLA BOUVET|BRASIL|BRUNÉI|BULGARIA|BURKINA FASO|BURUNDI|BUTÁN|CABO VERDE|ISLAS CAIMÁN|CAMBOYA|CAMERÚN|CANADÁ|REPÚBLICA CENTROAFRICANA|CHAD|REPÚBLICA CHECA|CHILE|CHINA|COLOMBIA|COMORAS|REPÚBLICA DEL CONGO|REP. DEM. DEL CONGO|COREA DEL SUR|COSTA DE MARFIL|COSTA RICA|CROACIA|CUBA|DINAMARCA|DOMINICA|REPÚBLICA DOMINICANA|ECUADOR|EGIPTO|EL SALVADOR|ERITREA|ESCOCIA|ESLOVAQUIA|ESPAÑA|ESTADOS UNIDOS|ESTONIA|ETIOPÍA|ISLAS FEROE|FILIPINAS|FINLANDIA|FIYI|FRANCIA|GABÓN|GAMBIA|GEORGIA|GHANA|GIBRALTAR|GRANADA|GRECIA|GROENLANDIA|GUADALUPE|GUAM|GUATEMALA|GUAYANA FRANCESA|GUERNSEY|GUINEA|GUINEA ECUATORIAL|GUINEA-BISSAU|GUYANA|HAITÍ|ISLAS HEARD Y MCDONALD|HONDURAS|HONG KONG|HUNGRÍA|INDIA|INDONESIA|INGLATERRA|IRÁN|IRAK|IRLANDA|ISLANDIA|ISRAEL|ITALIA|JAMAICA|JAPÓN|JERSEY|JORDANIA|KAZAJISTÁN|KENIA|KIRGUISTÁN|KIRIBATI|KUWAIT|LAOS|LESOTO|LETONIA|LÍBANO|LIBERIA|LIBIA|LIECHTENSTEIN|LITUANIA|LUXEMBURGO|MACAO|REPÚBLICA DE MACEDONIA|MADAGASCAR|MALASIA|MALAUI|MALDIVAS|MALÍ|MALTA|ISLAS MALVINAS|ISLA DE MAN|ISLAS MARIANAS DEL NORTE|MARRUECOS|ISLAS MARSHALL|MARTINICA|MAURICIO|MAURITANIA|MAYOTTE|MÉXICO|MICRONESIA|MOLDAVIA|MÓNACO|MONGOLIA|MONTENEGRO|MONTSERRAT|MOZAMBIQUE|NAMIBIA|NAURU|ISLA DE NAVIDAD|NEPAL|NICARAGUA|NÍGER|NIGERIA|NIUE|NORFOLK|NORUEGA|NUEVA CALEDONIA|NUEVA ZELANDA|OMÁN|PAÍSES BAJOS|PAKISTÁN|PALAOS|AUTORIDAD NACIONAL PALESTINA|PANAMÁ|PAPÚA NUEVA GUINEA|PARAGUAY|PERÚ|ISLAS PITCAIRN|POLINESIA FRANCESA|POLONIA|PORTUGAL|PUERTO RICO|CATAR|REINO UNIDO|REUNIÓN|RUANDA|RUMANÍA|RUSIA|REPÚBLICA ÁRABE SAHARAUI DEMOCRÁTICA|ISLAS SALOMÓN|SAMOA|SAMOA ESTADOUNIDENSE|SAN BARTOLOMÉ|SAN CRISTÓBAL Y NIEVES|SAN MARINO|SAN MARTÍN|SAN PEDRO Y MIQUELÓN|SAN VICENTE Y LAS GRANADINAS|SANTA HELENA, A. Y T.|SANTA LUCÍA|SANTO TOMÉ Y PRÍNCIPE|SENEGAL|SERBIA|SEYCHELLES|SIERRA LEONA|SINGAPUR|SIRIA|SOMALIA|SRI LANKA|SUAZILANDIA|SUDÁFRICA|SUDÁN|SUECIA|SUIZA|SURINAM|SVALBARD Y JAN MAYEN|TAILANDIA|TAIWÁN|TANZANIA|TAYIKISTÁN|TERRITORIO BRITÁNICO DEL OCÉANO ÍNDICO|TERRITORIOS AUSTRALES FRANCESES|TIMOR ORIENTAL|TOGO|TOKELAU|TONGA|TRINIDAD Y TOBAGO|TÚNEZ|ISLAS TURCAS Y CAICOS|TURKMENISTÁN|TURQUÍA|TUVALU|UCRANIA|UGANDA|URUGUAY|UZBEKISTÁN|VANUATU|CIUDAD DEL VATICANO|VENEZUELA|VIETNAM|ISLAS VÍRGENES BRITÁNICAS|ISLAS VÍRGENES DE LOS ESTADOS UNIDOS|WALLIS Y FUTUNA|YEMEN|YIBUTI|ZAMBIA|ZIMBABUE"
"Sugerencias","Nombre","Nombre","text","False","","255.0","",""
"Sugerencias","Número","Numero","text","False","","255.0","",""
"Sugerencias","Nº de documento","NumeroDeDocumento","text","False","","255.0","",""
"Sugerencias","NumTituloViaje","NumTituloViaje","text","False","","255.0","",""
"Sugerencias","OtraUbicacion","OtraUbicacion","text","False","","255.0","",""
"Sugerencias","Piso","Piso","text","False","","255.0","",""
"Sugerencias","Provincia","Provincia","text","False","","255.0","",""
"Sugerencias","Puerta","Puerta","text","False","","255.0","",""
"Sugerencias","Teléfono","Telefono","text","False","","255.0","",""
"Sugerencias","Tipo de documento","TipoDeDocumento","choice","False","","","","NIF|PAS|NIE"
"Sugerencias","Tipo de título","TipoDeTitulo","choice","False","","","","Monedero Metro Málaga|Ocasional Metro de Málaga|Tarjeta MásMetro|Tarjeta Monedero Consorcio de Transportes de Andalucía|Tarjeta Consorcio de Transportes de Andalucía Joven|Tarjeta Consorcio de Transportes de Andalucía Familia Numerosa|Validación con sistema EMV (Tarjeta de Crédito/Débito física no registrada)|Validación con sistema EMV móvil (Tarjeta de Crédito/Débito con NFC móvil no registrada)|Validación con ABT (Tarjeta de Crédito/Débito registrada en MetroPay)"
"Sugerencias","Nº solicitud","Title","text","True","","255.0","",""
