site_path,site_id,list_display_name,list_name,list_id,list_web_url,field_display_name,field_internal_name_graph,field_internal_name_for_create,field_id,type,required,hidden,read_only,indexed,unique,default_value,description,choices,choice_allow_text_entry,choice_display_as,text_max_length,number_minimum,number_maximum,number_decimal_places,date_time_display_as,date_time_format,lookup_list_id,lookup_column_name,lookup_allow_multiple,person_allow_multiple,person_choose_from_type,person_display_as,calculated_formula,calculated_output_type
/sites/ConectaDEV,"metromalaga.sharepoint.com,26c2952e-cdd2-486f-aef3-b4feac1dd2b8,96adc88b-6e6f-4778-8583-2fcae8591186",Agradecimientos,Agradecimientos,af8e68ea-ba87-4098-8749-720e267d3160,https://metromalaga.sharepoint.com/sites/ConectaDEV/Lists/Agradecimientos,FechaEpisodio,FechaEpisodio,FechaEpisodio,704b9683-7efe-4781-b7a9-027f773c4fb0,dateTime,False,False,False,False,False,,,,,,,,,,standard,dateTime,,,,,,,,
/sites/ConectaDEV,"metromalaga.sharepoint.com,26c2952e-cdd2-486f-aef3-b4feac1dd2b8,96adc88b-6e6f-4778-8583-2fcae8591186",Agradecimientos,Agradecimientos,af8e68ea-ba87-4098-8749-720e267d3160,https://metromalaga.sharepoint.com/sites/ConectaDEV/Lists/Agradecimientos,FechaModificacionEstadoCliente,FechaModificacionEstadoCliente,FechaModificacionEstadoCliente,15721df4-7768-402c-8619-b29d2abe438c,dateTime,False,False,False,False,False,[today],,,,,,,,,standard,dateTime,,,,,,,,
/sites/ConectaDEV,"metromalaga.sharepoint.com,26c2952e-cdd2-486f-aef3-b4feac1dd2b8,96adc88b-6e6f-4778-8583-2fcae8591186",Agradecimientos,Agradecimientos,af8e68ea-ba87-4098-8749-720e267d3160,https://metromalaga.sharepoint.com/sites/ConectaDEV/Lists/Agradecimientos,Localidad,Localidad,Localidad,d679dcfd-fec1-4e93-ae12-469df90b229b,text,False,False,False,False,False,,,,,,255.0,,,,,,,,,,,,,
/sites/ConectaDEV,"metromalaga.sharepoint.com,26c2952e-cdd2-486f-aef3-b4feac1dd2b8,96adc88b-6e6f-4778-8583-2fcae8591186",Agradecimientos,Agradecimientos,af8e68ea-ba87-4098-8749-720e267d3160,https://metromalaga.sharepoint.com/sites/ConectaDEV/Lists/Agradecimientos,Lugar,Lugar,Lugar,cbda5cca-da5c-46b7-8026-80fafb15620b,choice,False,False,False,False,False,,,Una estación|Un tren|Oficina de Atención al Cliente,False,dropDownMenu,,,,,,,,,,,,,,
/sites/ConectaDEV,"metromalaga.sharepoint.com,26c2952e-cdd2-486f-aef3-b4feac1dd2b8,96adc88b-6e6f-4778-8583-2fcae8591186",Agradecimientos,Agradecimientos,af8e68ea-ba87-4098-8749-720e267d3160,https://metromalaga.sharepoint.com/sites/ConectaDEV/Lists/Agradecimientos,Motivo,Motivo,Motivo,1ad334b0-96f5-4bc1-94df-9f04b1e24582,choice,False,False,False,False,False,Atención del personal,,Atención del personal|Resolución de incidencia|Mejora del servicio|Estado de instalaciones|Información proporcionada|Actuación de seguridad|Asistencia sobre accesibilidad|Ayuda para recuperar un objeto|Otros,False,dropDownMenu,,,,,,,,,,,,,,
/sites/ConectaDEV,"metromalaga.sharepoint.com,26c2952e-cdd2-486f-aef3-b4feac1dd2b8,96adc88b-6e6f-4778-8583-2fcae8591186",Agradecimientos,Agradecimientos,af8e68ea-ba87-4098-8749-720e267d3160,https://metromalaga.sharepoint.com/sites/ConectaDEV/Lists/Agradecimientos,Nacionalidad,Nacionalidad,Nacionalidad,5420df68-174b-4fa9-ace6-5728fb68cd72,choice,False,False,False,False,False,,,"AFGANISTÁN|ÅLAND|ALBANIA|ALEMANIA|ANDORRA|ANGOLA|ANGUILA|ANTIGUA Y BARBUDA|ANTILLAS NEERLANDESAS|ARABIA SAUDITA|ARGELIA|ARGENTINA|ARMENIA|ARUBA|AUSTRALIA|AUSTRIA|AZERBAIYÁN|BAHAMAS|BARÉIN|BANGLADÉS|BARBADOS|BÉLGICA|BELICE|BENÍN|BERMUDAS|BIELORRUSIA|BIRMANIA|BOLIVIA|BOSNIA Y HERZEGOVINA|BOTSUANA|ISLA BOUVET|BRASIL|BRUNÉI|BULGARIA|BURKINA FASO|BURUNDI|BUTÁN|CABO VERDE|ISLAS CAIMÁN|CAMBOYA|CAMERÚN|CANADÁ|REPÚBLICA CENTROAFRICANA|CHAD|REPÚBLICA CHECA|CHILE|CHINA|COLOMBIA|COMORAS|REPÚBLICA DEL CONGO|REP. DEM. DEL CONGO|COREA DEL SUR|COSTA DE MARFIL|COSTA RICA|CROACIA|CUBA|DINAMARCA|DOMINICA|REPÚBLICA DOMINICANA|ECUADOR|EGIPTO|EL SALVADOR|ERITREA|ESCOCIA|ESLOVAQUIA|ESPAÑA|ESTADOS UNIDOS|ESTONIA|ETIOPÍA|ISLAS FEROE|FILIPINAS|FINLANDIA|FIYI|FRANCIA|GABÓN|GAMBIA|GEORGIA|GHANA|GIBRALTAR|GRANADA|GRECIA|GROENLANDIA|GUADALUPE|GUAM|GUATEMALA|GUAYANA FRANCESA|GUERNSEY|GUINEA|GUINEA ECUATORIAL|GUINEA-BISSAU|GUYANA|HAITÍ|ISLAS HEARD Y MCDONALD|HONDURAS|HONG KONG|HUNGRÍA|INDIA|INDONESIA|INGLATERRA|IRÁN|IRAK|IRLANDA|ISLANDIA|ISRAEL|ITALIA|JAMAICA|JAPÓN|JERSEY|JORDANIA|KAZAJISTÁN|KENIA|KIRGUISTÁN|KIRIBATI|KUWAIT|LAOS|LESOTO|LETONIA|LÍBANO|LIBERIA|LIBIA|LIECHTENSTEIN|LITUANIA|LUXEMBURGO|MACAO|REPÚBLICA DE MACEDONIA|MADAGASCAR|MALASIA|MALAUI|MALDIVAS|MALÍ|MALTA|ISLAS MALVINAS|ISLA DE MAN|ISLAS MARIANAS DEL NORTE|MARRUECOS|ISLAS MARSHALL|MARTINICA|MAURICIO|MAURITANIA|MAYOTTE|MÉXICO|MICRONESIA|MOLDAVIA|MÓNACO|MONGOLIA|MONTENEGRO|MONTSERRAT|MOZAMBIQUE|NAMIBIA|NAURU|ISLA DE NAVIDAD|NEPAL|NICARAGUA|NÍGER|NIGERIA|NIUE|NORFOLK|NORUEGA|NUEVA CALEDONIA|NUEVA ZELANDA|OMÁN|PAÍSES BAJOS|PAKISTÁN|PALAOS|AUTORIDAD NACIONAL PALESTINA|PANAMÁ|PAPÚA NUEVA GUINEA|PARAGUAY|PERÚ|ISLAS PITCAIRN|POLINESIA FRANCESA|POLONIA|PORTUGAL|PUERTO RICO|CATAR|REINO UNIDO|REUNIÓN|RUANDA|RUMANÍA|RUSIA|REPÚBLICA ÁRABE SAHARAUI DEMOCRÁTICA|ISLAS SALOMÓN|SAMOA|SAMOA ESTADOUNIDENSE|SAN BARTOLOMÉ|SAN CRISTÓBAL Y NIEVES|SAN MARINO|SAN MARTÍN|SAN PEDRO Y MIQUELÓN|SAN VICENTE Y LAS GRANADINAS|SANTA HELENA, A. Y T.|SANTA LUCÍA|SANTO TOMÉ Y PRÍNCIPE|SENEGAL|SERBIA|SEYCHELLES|SIERRA LEONA|SINGAPUR|SIRIA|SOMALIA|SRI LANKA|SUAZILANDIA|SUDÁFRICA|SUDÁN|SUECIA|SUIZA|SURINAM|SVALBARD Y JAN MAYEN|TAILANDIA|TAIWÁN|TANZANIA|TAYIKISTÁN|TERRITORIO BRITÁNICO DEL OCÉANO ÍNDICO|TERRITORIOS AUSTRALES FRANCESES|TIMOR ORIENTAL|TOGO|TOKELAU|TONGA|TRINIDAD Y TOBAGO|TÚNEZ|ISLAS TURCAS Y CAICOS|TURKMENISTÁN|TURQUÍA|TUVALU|UCRANIA|UGANDA|URUGUAY|UZBEKISTÁN|VANUATU|CIUDAD DEL VATICANO|VENEZUELA|VIETNAM|ISLAS VÍRGENES BRITÁNICAS|ISLAS VÍRGENES DE LOS ESTADOS UNIDOS|WALLIS Y FUTUNA|YEMEN|YIBUTI|ZAMBIA|ZIMBABUE",False,dropDownMenu,,,,,,,,,,,,,,
/sites/ConectaDEV,"metromalaga.sharepoint.com,26c2952e-cdd2-486f-aef3-b4feac1dd2b8,96adc88b-6e6f-4778-8583-2fcae8591186",Agradecimientos,Agradecimientos,af8e68ea-ba87-4098-8749-720e267d3160,https://metromalaga.sharepoint.com/sites/ConectaDEV/Lists/Agradecimientos,Nombre,Nombre,Nombre,283cf144-fc28-4286-80dc-908692c96fc7,text,False,False,False,False,False,,,,,,255.0,,,,,,,,,,,,,
/sites/ConectaDEV,"metromalaga.sharepoint.com,26c2952e-cdd2-486f-aef3-b4feac1dd2b8,96adc88b-6e6f-4778-8583-2fcae8591186",Agradecimientos,Agradecimientos,af8e68ea-ba87-4098-8749-720e267d3160,https://metromalaga.sharepoint.com/sites/ConectaDEV/Lists/Agradecimientos,NumIdentificacionPersonaTrabajadora,NumIdentificacionPersonaTrabajad,NumIdentificacionPersonaTrabajad,ed487804-b310-41d1-a99c-1a3a5bd591a4,text,False,False,False,False,False,,,,,,255.0,,,,,,,,,,,,,
/sites/ConectaDEV,"metromalaga.sharepoint.com,26c2952e-cdd2-486f-aef3-b4feac1dd2b8,96adc88b-6e6f-4778-8583-2fcae8591186",Agradecimientos,Agradecimientos,af8e68ea-ba87-4098-8749-720e267d3160,https://metromalaga.sharepoint.com/sites/ConectaDEV/Lists/Agradecimientos,Nº de documento,NumeroDeDocumento,NumeroDeDocumento,562e3e98-9c43-4d90-9b8b-69c6ad42d56f,text,False,False,False,False,False,,,,,,255.0,,,,,,,,,,,,,
/sites/ConectaDEV,"metromalaga.sharepoint.com,26c2952e-cdd2-486f-aef3-b4feac1dd2b8,96adc88b-6e6f-4778-8583-2fcae8591186",Agradecimientos,Agradecimientos,af8e68ea-ba87-4098-8749-720e267d3160,https://metromalaga.sharepoint.com/sites/ConectaDEV/Lists/Agradecimientos,Nº solicitud,Title,Title,fa564e0f-0c70-4ab9-b863-0177e6ddd247,text,True,False,False,False,False,,,,,,255.0,,,,,,,,,,,,,
